Codigo,Funcao,Valor
1,LEGISLATIVA,11648000.0
4,ADMINISTRAÇÃO,28640000.0
6,SEGURANÇA PÚBLICA,13065000.0
8,ASSISTÊNCIA SOCIAL,12963860.0
9,PREVIDÊNCIA SOCIAL,42911000.0
10,SAÚDE,124031140.0
11,TRABALHO,1934000.0
12,EDUCAÇÃO,138488000.0
13,CULTURA,5916000.0
14,DIREITOS DA CIDADANIA,460000.0
15,URBANISMO,73874000.0
16,HABITAÇÃO,10000.0
17,SANEAMENTO,2823000.0
18,GESTÃO AMBIENTAL,2712200.0
20,AGRICULTURA,11000.0
23,COMÉRCIO E SERVIÇOS,15610000.0
27,DESPORTO E LAZER,10000.0
28,RESERVA DE CONTINGÊNCIA,1470000.0
99,RESERVA DE CONTINGÊNCIA,1470000.0
