Codigo,Funcao,Valor
1,LEGISLATIVA,12498000.0
4,ADMINISTRAÇÃO,66061210.0
6,SEGURANÇA PÚBLICA,12221000.0
8,ASSISTÊNCIA SOCIAL,14763179.0
9,PREVIDÊNCIA SOCIAL,44036600.0
10,SAÚDE,174796510.0
11,TRABALHO,4095000.0
12,EDUCAÇÃO,163791200.0
13,CULTURA,3897750.0
14,DIREITOS DA CIDADANIA,763490.0
15,URBANISMO,97423545.0
16,HABITAÇÃO,3006000.0
17,SANEAMENTO,3060000.0
18,GESTÃO AMBIENTAL,2885000.0
20,AGRICULTURA,1830000.0
23,COMÉRCIO E SERVIÇOS,5363000.0
25,ENCARGOS ESPECIAIS,1155000.0
27,DESPORTO E LAZER,4359000.0
28,RESERVA DE CONTINGÊNCIA,1500000.0
29,TURISMO,13136406.0
