Codigo,Especificacao,Valor
01.00.00,Poder Legislativo,11648000.00
01.01.00,Câmara Municipal,11648000.00
02.00.00,Poder Executivo,445041000.00
02.01.00,Chefia de Gabinete,11149800.00
02.02.00,Secretaria de Assuntos Jurídicos,4449000.00
02.03.00,Secretaria de Empregos, Indústria e Comércio,1934000.00
02.04.00,Secretaria Municipal de Administração,11685000.00
02.05.00,Secretaria Municipal da Fazenda,3210000.00
02.06.00,Secretaria Municipal de Planejamento,5174000.00
02.07.00,Secretaria Mun. Obras, Serviços e Infraestrutura Urbana,62844000.00
02.08.00,Fundo Mun. Con. Serv. Prot. Defesa do Meio Ambiente,11000.00
02.09.00,Fundo Municipal de Desenvolvimento Agropecuário,11000.00
02.10.00,Secretaria Municipal de Saúde / Fundo Municipal de Saúde,124031140.00
02.11.00,Secretaria Municipal de Educação,75431000.00
02.12.00,Fundo de Manutenção e Desenv. da Educação Básica e de Valorização dos Profissionais da Educação - FUNDEB,63057000.00
02.13.00,Secretaria Municipal de Assistência e Desenv. Social,6709860.00
02.14.00,Fundo Municipal de Assistência Social,5794000.00
02.15.00,Fundo Municipal dos Direitos da Criança e do Adolescente,460000.00
02.17.00,Fundo Municipal de Turismo FUNTUR,108000.00
02.18.00,Fundo de Assistência à Cultura,10000.00
02.19.00,Fundo Municipal de Esportes - FUNMEL,10000.00
02.20.00,Secretaria Mun. de Defesa Social / Fundo Mun. de Trânsito,15997500.00
02.21.00,Fundo Municipal de Habitação,10000.00
02.22.00,Fundo de Desenvolvimento da Cidade,60000.00
02.23.00,Fundo Municipal do Idoso,11000.00
02.24.00,Fundo do Bem Estar Animal,10000.00
02.25.00,Secretaria Municipal de Meio Ambiente e Agricultura,2712200.00
02.26.00,Secretaria Municipal de Governo,102000.00
02.27.00,Fundo Mun. Saneam. Ambiental e Infraestrutura,2823000.00
02.28.00,Secretaria Municipal de Finanças,23115500.00
02.29.00,Secretaria Municipal de Turismo,15610000.00
02.30.00,Secretaria Municipal de Cultura e Esportes,5916000.00
02.31.00,Fundo Municipal de Interesses Difusos,1105000.00
02.32.00,Fundo de Prev. Comb. e Manut. Bombeiros,10000.00
02.33.00,Fundo Munic. de Economia Solidária,10000.00
02.99.00,Reserva de Contingência,1470000.00
03.00.00,AUTARQUIA (PERUIBEPREV),42911000.00
03.01.00,PERUIBE PREV,42911000.00
TOTAL,TOTAL,499600000.00
